date,time,park,land,attraction,wait_time,is_open
2026-08-01,08:40,Magic Kingdom,Frontierland,Tiana's Bayou Adventure,0,False
2026-08-01,08:40,Magic Kingdom,Liberty Square,Haunted Mansion,0,False
2026-08-01,08:40,Magic Kingdom,Liberty Square,The Hall of Presidents,0,False
2026-08-01,08:40,Magic Kingdom,"Main Street, U.S.A.",Main Street Vehicles,0,False
2026-08-01,08:40,Magic Kingdom,"Main Street, U.S.A.",Meet Mickey at Town Square Theater,0,False
2026-08-01,08:40,Magic Kingdom,"Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",0,False
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Astro Orbiter,10,True
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Buzz Lightyear’s Space Ranger Spin,5,True
2026-08-01,08:40,Magic Kingdom,Tomorrowland,"Monsters, Inc. Laugh Floor",0,False
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Space Mountain,20,True
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Tomorrowland Speedway,5,True
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Tomorrowland Transit Authority PeopleMover,5,True
2026-08-01,08:40,Magic Kingdom,Tomorrowland,TRON Lightcycle / Run,0,False
2026-08-01,08:40,Magic Kingdom,Tomorrowland,Walt Disney's Carousel of Progress,0,False
2026-08-01,08:40,EPCOT,World Celebration,Disney and Pixar Short Film Festival,0,False
2026-08-01,08:40,EPCOT,World Celebration,Journey Into Imagination With Figment,0,False
2026-08-01,08:40,EPCOT,World Celebration,Meet Beloved Disney Pals at Mickey & Friends,0,False
2026-08-01,08:40,EPCOT,World Celebration,Spaceship Earth,5,True
2026-08-01,08:40,EPCOT,World Discovery,Guardians of the Galaxy: Cosmic Rewind,60,True
2026-08-01,08:40,EPCOT,World Discovery,Mission: SPACE,20,True
2026-08-01,08:40,EPCOT,World Discovery,Test Track,30,True
2026-08-01,08:40,EPCOT,World Discovery,Test Track Presented by Chevrolet Single Rider,0,True
2026-08-01,08:40,EPCOT,World Nature,Awesome Planet,0,False
2026-08-01,08:40,EPCOT,World Nature,"Journey of Water, Inspired by Moana",0,True
2026-08-01,08:40,EPCOT,World Nature,Living with the Land,0,False
2026-08-01,08:40,EPCOT,World Nature,SeaBase Aquarium,0,True
2026-08-01,08:40,EPCOT,World Nature,Soarin' Across America,10,True
2026-08-01,08:40,EPCOT,World Nature,The Seas with Nemo & Friends,5,True
2026-08-01,08:40,EPCOT,World Nature,Turtle Talk With Crush,0,False
2026-08-01,08:40,EPCOT,World Showcase,Canada Far and Wide in Circle-Vision 360,0,False
2026-08-01,08:40,EPCOT,World Showcase,Frozen Ever After,35,True
2026-08-01,08:40,EPCOT,World Showcase,Gran Fiesta Tour Starring The Three Caballeros,0,False
2026-08-01,08:40,EPCOT,World Showcase,Meet Anna and Elsa at Royal Sommerhus,0,False
2026-08-01,08:40,EPCOT,World Showcase,Remy's Ratatouille Adventure,45,True
2026-08-01,08:40,EPCOT,World Showcase,Remy's Ratatouille Adventure Single Rider,0,True
2026-08-01,08:40,Hollywood Studios,Animation Courtyard,Disney Jr. Mickey Mouse Clubhouse Live!,0,True
2026-08-01,08:40,Hollywood Studios,Animation Courtyard,Meet Ariel at Walt Disney Presents,0,False
2026-08-01,08:40,Hollywood Studios,Animation Courtyard,The Little Mermaid – A Musical Adventure,0,True
2026-08-01,08:40,Hollywood Studios,Animation Courtyard,Walt Disney Presents,0,False
2026-08-01,08:40,Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,0,False
2026-08-01,08:40,Hollywood Studios,Echo Lake,For the First Time in Forever: A Frozen Sing-Along Celebration,0,True
2026-08-01,08:40,Hollywood Studios,Echo Lake,Indiana Jones™ Epic Stunt Spectacular!,0,True
2026-08-01,08:40,Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,0,False
2026-08-01,08:40,Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5,True
2026-08-01,08:40,Hollywood Studios,Echo Lake,Vacation Fun - An Original Animated Short with Mickey & Minnie,0,False
2026-08-01,08:40,Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,25,True
2026-08-01,08:40,Hollywood Studios,Pixar Plaza,Meet Edna Mode at the Edna Mode Experience,0,False
2026-08-01,08:40,Hollywood Studios,Pixar Plaza,Toy Story Mania!,0,True
2026-08-01,08:40,Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,15,True
2026-08-01,08:40,Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run Single Rider,0,True
2026-08-01,08:40,Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,0,True
2026-08-01,08:40,Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance Single Rider,0,True
2026-08-01,08:40,Hollywood Studios,Sunset Boulevard,Beauty and the Beast – Live on Stage,0,True
2026-08-01,08:40,Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith Single Rider,0,True
2026-08-01,08:40,Hollywood Studios,Sunset Boulevard,Rock ’n’ Roller Coaster Starring The Muppets,0,True
2026-08-01,08:40,Hollywood Studios,Sunset Boulevard,The Twilight Zone™ Tower of Terror,0,True
2026-08-01,08:40,Hollywood Studios,Toy Story Land,Alien Swirling Saucers,5,True
2026-08-01,08:40,Hollywood Studios,Toy Story Land,Slinky Dog Dash,75,True
2026-08-01,08:40,Animal Kingdom,Africa,Festival of the Lion King,0,True
2026-08-01,08:40,Animal Kingdom,Africa,Gorilla Falls Exploration Trail,5,True
2026-08-01,08:40,Animal Kingdom,Africa,Kilimanjaro Safaris,0,False
2026-08-01,08:40,Animal Kingdom,Africa,Wildlife Express Train,5,True
2026-08-01,08:40,Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain,15,True
2026-08-01,08:40,Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain Single Rider,0,True
2026-08-01,08:40,Animal Kingdom,Asia,Feathered Friends in Flight!,0,True
2026-08-01,08:40,Animal Kingdom,Asia,Kali River Rapids,0,False
2026-08-01,08:40,Animal Kingdom,Conservation Station,Animal Care at Conservation Station,0,True
2026-08-01,08:40,Animal Kingdom,Conservation Station,Bluey's Wild World at Conservation Station,10,True
2026-08-01,08:40,Animal Kingdom,Dinoland U.S.A,Finding Nemo: The Big Blue... and Beyond!,0,True
2026-08-01,08:40,Animal Kingdom,Discovery Island,Discovery Island Trails,0,True
2026-08-01,08:40,Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,20,True
2026-08-01,08:40,Animal Kingdom,Discovery Island,Meet Moana at Character Landing,0,True
2026-08-01,08:40,Animal Kingdom,Discovery Island,Tree of Life,0,True
2026-08-01,08:40,Animal Kingdom,Discovery Island,Zootopia: Better Zoogether!,10,True
2026-08-01,08:40,Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,75,True
2026-08-01,08:40,Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,45,True
2026-08-01,08:40,Animal Kingdom,The Oasis,The Oasis Exhibits,0,True
2026-08-01,08:40,Animal Kingdom,The Oasis,Wilderness Explorers,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,Jungle Cruise,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,Pirates of the Caribbean,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,Swiss Family Treehouse,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,0,False
2026-08-01,08:45,Magic Kingdom,Adventureland,Walt Disney's Enchanted Tiki Room,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,it's a small world,5,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Casey Jr. Splash 'N' Soak Station,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Cinderella Castle,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,5,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Mad Tea Party,5,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,0,False
2026-08-01,08:45,Magic Kingdom,Fantasyland,Peter Pan's Flight,35,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,0,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,45,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,The Barnstormer,5,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,5,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Under the Sea - Journey of The Little Mermaid,0,True
2026-08-01,08:45,Magic Kingdom,Fantasyland,Walt Disney World Railroad - Fantasyland,0,False
2026-08-01,08:45,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,0,False
2026-08-01,08:45,Magic Kingdom,Frontierland,Country Bear Musical Jamboree,0,False
2026-08-01,08:45,Magic Kingdom,Frontierland,Tiana's Bayou Adventure,0,False
2026-08-01,08:45,Magic Kingdom,Liberty Square,Haunted Mansion,0,False
2026-08-01,08:45,Magic Kingdom,Liberty Square,The Hall of Presidents,0,False
2026-08-01,08:45,Magic Kingdom,"Main Street, U.S.A.",Main Street Vehicles,0,False
2026-08-01,08:45,Magic Kingdom,"Main Street, U.S.A.",Meet Mickey at Town Square Theater,0,False
2026-08-01,08:45,Magic Kingdom,"Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",0,False
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Astro Orbiter,10,True
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Buzz Lightyear’s Space Ranger Spin,5,True
2026-08-01,08:45,Magic Kingdom,Tomorrowland,"Monsters, Inc. Laugh Floor",0,False
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Space Mountain,20,True
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Tomorrowland Speedway,5,True
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Tomorrowland Transit Authority PeopleMover,5,True
2026-08-01,08:45,Magic Kingdom,Tomorrowland,TRON Lightcycle / Run,0,False
2026-08-01,08:45,Magic Kingdom,Tomorrowland,Walt Disney's Carousel of Progress,0,False
2026-08-01,08:45,EPCOT,World Celebration,Disney and Pixar Short Film Festival,0,False
2026-08-01,08:45,EPCOT,World Celebration,Journey Into Imagination With Figment,0,False
2026-08-01,08:45,EPCOT,World Celebration,Meet Beloved Disney Pals at Mickey & Friends,0,False
2026-08-01,08:45,EPCOT,World Celebration,Spaceship Earth,5,True
2026-08-01,08:45,EPCOT,World Discovery,Guardians of the Galaxy: Cosmic Rewind,60,True
2026-08-01,08:45,EPCOT,World Discovery,Mission: SPACE,15,True
2026-08-01,08:45,EPCOT,World Discovery,Test Track,30,True
2026-08-01,08:45,EPCOT,World Discovery,Test Track Presented by Chevrolet Single Rider,0,True
2026-08-01,08:45,EPCOT,World Nature,Awesome Planet,0,False
2026-08-01,08:45,EPCOT,World Nature,"Journey of Water, Inspired by Moana",0,True
2026-08-01,08:45,EPCOT,World Nature,Living with the Land,0,False
2026-08-01,08:45,EPCOT,World Nature,SeaBase Aquarium,0,True
2026-08-01,08:45,EPCOT,World Nature,Soarin' Across America,10,True
2026-08-01,08:45,EPCOT,World Nature,The Seas with Nemo & Friends,5,True
2026-08-01,08:45,EPCOT,World Nature,Turtle Talk With Crush,0,False
2026-08-01,08:45,EPCOT,World Showcase,Canada Far and Wide in Circle-Vision 360,0,False
2026-08-01,08:45,EPCOT,World Showcase,Frozen Ever After,20,True
2026-08-01,08:45,EPCOT,World Showcase,Gran Fiesta Tour Starring The Three Caballeros,0,False
2026-08-01,08:45,EPCOT,World Showcase,Meet Anna and Elsa at Royal Sommerhus,0,False
2026-08-01,08:45,EPCOT,World Showcase,Remy's Ratatouille Adventure,45,True
2026-08-01,08:45,EPCOT,World Showcase,Remy's Ratatouille Adventure Single Rider,0,True
2026-08-01,08:45,Hollywood Studios,Animation Courtyard,Disney Jr. Mickey Mouse Clubhouse Live!,0,True
2026-08-01,08:45,Hollywood Studios,Animation Courtyard,Meet Ariel at Walt Disney Presents,0,False
2026-08-01,08:45,Hollywood Studios,Animation Courtyard,The Little Mermaid – A Musical Adventure,0,True
2026-08-01,08:45,Hollywood Studios,Animation Courtyard,Walt Disney Presents,0,False
2026-08-01,08:45,Hollywood Studios,Commissary Lane,Meet Disney Stars at Red Carpet Dreams,0,False
2026-08-01,08:45,Hollywood Studios,Echo Lake,For the First Time in Forever: A Frozen Sing-Along Celebration,0,True
2026-08-01,08:45,Hollywood Studios,Echo Lake,Indiana Jones™ Epic Stunt Spectacular!,0,True
2026-08-01,08:45,Hollywood Studios,Echo Lake,Meet Olaf at Celebrity Spotlight,0,False
2026-08-01,08:45,Hollywood Studios,Echo Lake,Star Tours – The Adventures Continue,5,True
2026-08-01,08:45,Hollywood Studios,Echo Lake,Vacation Fun - An Original Animated Short with Mickey & Minnie,0,False
2026-08-01,08:45,Hollywood Studios,Hollywood Boulevard,Mickey & Minnie's Runaway Railway,25,True
2026-08-01,08:45,Hollywood Studios,Pixar Plaza,Meet Edna Mode at the Edna Mode Experience,0,False
2026-08-01,08:45,Hollywood Studios,Pixar Plaza,Toy Story Mania!,0,False
2026-08-01,08:45,Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,15,True
2026-08-01,08:45,Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run Single Rider,0,True
2026-08-01,08:45,Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,0,False
2026-08-01,08:45,Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance Single Rider,0,False
2026-08-01,08:45,Hollywood Studios,Sunset Boulevard,Beauty and the Beast – Live on Stage,0,True
2026-08-01,08:45,Hollywood Studios,Sunset Boulevard,Rock 'n' Roller Coaster Starring Aerosmith Single Rider,0,True
2026-08-01,08:45,Hollywood Studios,Sunset Boulevard,Rock ’n’ Roller Coaster Starring The Muppets,0,True
2026-08-01,08:45,Hollywood Studios,Sunset Boulevard,The Twilight Zone™ Tower of Terror,0,True
2026-08-01,08:45,Hollywood Studios,Toy Story Land,Alien Swirling Saucers,10,True
2026-08-01,08:45,Hollywood Studios,Toy Story Land,Slinky Dog Dash,75,True
2026-08-01,08:45,Animal Kingdom,Africa,Festival of the Lion King,0,True
2026-08-01,08:45,Animal Kingdom,Africa,Gorilla Falls Exploration Trail,5,True
2026-08-01,08:45,Animal Kingdom,Africa,Kilimanjaro Safaris,0,False
2026-08-01,08:45,Animal Kingdom,Africa,Wildlife Express Train,5,True
2026-08-01,08:45,Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain,15,True
2026-08-01,08:45,Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain Single Rider,0,True
2026-08-01,08:45,Animal Kingdom,Asia,Feathered Friends in Flight!,0,True
2026-08-01,08:45,Animal Kingdom,Asia,Kali River Rapids,0,False
2026-08-01,08:45,Animal Kingdom,Conservation Station,Animal Care at Conservation Station,0,True
2026-08-01,08:45,Animal Kingdom,Conservation Station,Bluey's Wild World at Conservation Station,10,True
2026-08-01,08:45,Animal Kingdom,Dinoland U.S.A,Finding Nemo: The Big Blue... and Beyond!,0,True
2026-08-01,08:45,Animal Kingdom,Discovery Island,Discovery Island Trails,0,True
2026-08-01,08:45,Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,20,True
2026-08-01,08:45,Animal Kingdom,Discovery Island,Meet Moana at Character Landing,0,True
2026-08-01,08:45,Animal Kingdom,Discovery Island,Tree of Life,0,True
2026-08-01,08:45,Animal Kingdom,Discovery Island,Zootopia: Better Zoogether!,10,True
2026-08-01,08:45,Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,60,True
2026-08-01,08:45,Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,45,True
2026-08-01,08:45,Animal Kingdom,The Oasis,The Oasis Exhibits,0,True
2026-08-01,08:45,Animal Kingdom,The Oasis,Wilderness Explorers,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,A Pirate's Adventure ~ Treasures of the Seven Seas,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,Jungle Cruise,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,Pirates of the Caribbean,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,Swiss Family Treehouse,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,0,False
2026-08-01,08:50,Magic Kingdom,Adventureland,Walt Disney's Enchanted Tiki Room,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,it's a small world,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Casey Jr. Splash 'N' Soak Station,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Cinderella Castle,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Mad Tea Party,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,0,False
2026-08-01,08:50,Magic Kingdom,Fantasyland,Peter Pan's Flight,35,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Prince Charming Regal Carrousel,0,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Seven Dwarfs Mine Train,40,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,The Barnstormer,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Under the Sea - Journey of The Little Mermaid,5,True
2026-08-01,08:50,Magic Kingdom,Fantasyland,Walt Disney World Railroad - Fantasyland,0,False
2026-08-01,08:50,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,0,False
2026-08-01,08:50,Magic Kingdom,Frontierland,Country Bear Musical Jamboree,0,False
2026-08-01,08:50,Magic Kingdom,Frontierland,Tiana's Bayou Adventure,0,False
2026-08-01,08:50,Magic Kingdom,Liberty Square,Haunted Mansion,0,False
2026-08-01,08:50,Magic Kingdom,Liberty Square,The Hall of Presidents,0,False
2026-08-01,08:50,Magic Kingdom,"Main Street, U.S.A.",Main Street Vehicles,0,False
2026-08-01,08:50,Magic Kingdom,"Main Street, U.S.A.",Meet Mickey at Town Square Theater,0,False
2026-08-01,08:50,Magic Kingdom,"Main Street, U.S.A.","Walt Disney World Railroad - Main Street, U.S.A.",0,False
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Astro Orbiter,10,True
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Buzz Lightyear’s Space Ranger Spin,10,True
2026-08-01,08:50,Magic Kingdom,Tomorrowland,"Monsters, Inc. Laugh Floor",0,False
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Space Mountain,20,True
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Tomorrowland Speedway,10,True
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Tomorrowland Transit Authority PeopleMover,5,True
2026-08-01,08:50,Magic Kingdom,Tomorrowland,TRON Lightcycle / Run,0,False
2026-08-01,08:50,Magic Kingdom,Tomorrowland,Walt Disney's Carousel of Progress,0,False
2026-08-01,08:50,EPCOT,World Celebration,Disney and Pixar Short Film Festival,0,False
2026-08-01,08:50,EPCOT,World Celebration,Journey Into Imagination With Figment,0,False
2026-08-01,08:50,EPCOT,World Celebration,Meet Beloved Disney Pals at Mickey & Friends,0,False
2026-08-01,08:50,EPCOT,World Celebration,Spaceship Earth,5,True
2026-08-01,08:50,EPCOT,World Discovery,Guardians of the Galaxy: Cosmic Rewind,60,True
